,datetime,text
91,2023-04-10 18:05:13+00:00,"лол, я с ним в одной группе занимаюсь, метр с кепкой бесячий"
156,2023-04-11 11:03:15+00:00,че ты мне противопоставишь сынуля шлюхи я твой ебальник снесу
2,2022-03-29 09:33:31+00:00,Охуенный у вас чат. Всероссийская перепись ебанной швали
140,2023-04-04 10:19:50+00:00,"Пук среньк, обиженка. Скорее всего ты и плачешь в подушечку, ведь твою попку трахнули азеры, хыыыы."
50,2023-04-11 10:44:23+00:00,Я твою жирную толстую мать ебал если завтра не захватишь 176
38,2023-04-11 10:12:45+00:00,"ещё раньше не мог, у нас буквально урок оставался, гений"
240,2022-05-25 08:22:52+00:00,У тебя видимо и залупы нет)) и яиц тоже..😂😂 баба короче 😇🤣
227,2022-09-11 21:03:57+00:00,"Для того, чтобы это увидеть, нужно снять очки фанатизма. Вы никогда не слышали про ЛО?"
208,2023-03-18 14:23:42+00:00,"ты думаешь я не отличу в этом паблике христианина и мусульмашку? защищаешь ислам ( сосуослам ) так что готов уже залупу мухамеду и его жене аише отлизать, так что за дело свинособака"
235,2022-05-28 08:50:19+00:00,"Очень скучная и неизобретательная дама, такая топорная попытка"
116,2023-04-10 19:27:38+00:00,Вы посмотрите как мы ему коменты засрали ему это всё разгребай🤣🤣
234,2022-08-12 13:48:13+00:00,"Бедный и ограниченый😂 не повезло вам с этими женщинами  не зря говорят подобное притягивает подобное..., а мой мужчина всегда мной восхищаться!!!"
177,2023-01-24 12:34:33+00:00,Ты сам понимаешь  что если я не знал это то это нихуя не меняет и я как бы могу еще и больше тебя знать
45,2023-04-11 09:35:26+00:00,За твои проделки блять  ты можешь получить административное наказание и возможно даже почти ты делаешь это террористическую группировку
51,2023-04-11 09:43:15+00:00,Бибизянку найдут и посадят обратно в зоопарк в вольер
83,2023-04-11 09:17:10+00:00,Как у нас в классе говорится Матвей хуйни не скажет
28,2023-02-13 12:32:08+00:00,"Блять я не твой брат иди на хуй, и мы решили что ты с позор открываешь окно и прыгаешь"
119,2023-04-10 10:25:44+00:00,Ты ебанное сыкло которое сидит на диване жрёт чипсы и угрожает ты никто в этой жизни
103,2023-04-10 13:49:20+00:00,какой-то школьник запугивает детей и устраивает «теракт» это глупо
0,2022-06-30 21:26:44+00:00,"Просто пиздец, пхахахаха, ставить з на аву и чёрное солнце, каким же нужно быть хуесосом, коммунистом и пидорасом"
49,2023-04-11 11:09:24+00:00,"Это все враньё !!!!
Чушь!!! Нам обещали... 
Ничего! 
у них будет проверка и проблемы .. Они это уже обсуждали...
ЕСЛИ НЕ ХОТИТЕ ПРОБЛЕМ ... ...ДО СВИДАНИЯ! 
ЭТО ВРАНЬЁ И НЕ ПРАВДА!!!"
121,2023-04-10 13:39:54+00:00,"Спасибо, но кому-то сдавать экзамены, ебанат, блять."
254,2022-05-25 15:20:55+00:00,"Да там бесполезно спорить, таких за решетку надо. Без разговоров и палками бить, они только так понимают. Нет смысла доказывать и бросать жемчуг перед свиньёй, не оценит"
196,2023-03-16 09:20:52+00:00,"Выкидыш это твой дед, который смог поебаться с другими обезьянами как он"
131,2023-04-04 19:04:27+00:00,Ну и? Каким боком к ним идет права хача армянина в его же стране
32,2023-02-13 12:41:40+00:00,"Да не за что, так и скажи что у  тебя закончился словарный запас ты умалешёное животное начал метать стрелки"
46,2023-04-11 09:46:00+00:00,"Бл я считаю что это не нормально, кто то тут ведь реально не шутит."
34,2023-01-13 11:53:28+00:00,обычно я рвётся очела твоей тупоголовой пробитой мамаши
163,2023-04-05 07:36:29+00:00,Типо если хочешь перекинуться оскорблениями то окей
19,2023-02-07 13:47:14+00:00,"Да расскажи ""невыдуманные истории про которые сложно молчать"" Буду рад послушать"
181,2023-02-05 22:47:07+00:00,"маленький расиянишка пиздит 
завали ебало уже свое чурка"
71,2023-04-11 07:32:59+00:00,"я лишь спрашиваю тебя,ведь все что ты мне пишешь заключено в мате, не больше"
210,2023-03-15 18:07:44+00:00,"А почему не более важных людей? Сколько бизнес менов занимаются сексом с детьми за деньги. И нечего, никто их не трогает. Тесак уже пытался базариться на опасных для него людей. И в результате умер. Тесак самый обычный слабак, который может унижать только лохов. Его смерть это доказала."
137,2023-04-04 20:06:05+00:00,"Он даун просто, и чтоб поддерживать Максима не обязательно скином быть"
247,2022-05-25 07:07:14+00:00,"Ну че ты где там, давилка ещё не выросла, давить он собрался"
139,2023-04-07 11:35:20+00:00,а вот со старыми у меня история как они хуево покрасили хату)
56,2023-04-11 07:23:36+00:00,"Пипец,у нас математика спросила сколько нас человек в классе....мне страшна"
169,2023-02-21 18:11:55+00:00,"Ты берёшь слишком низкую планку — спроси, на кой я вообще мыслю и анализирую?"
167,2023-02-22 17:25:56+00:00,"Даун это не болезнь это всего лишь лишняя хромосома,ты чучело ебаное обезьяна умнее тебя"
74,2023-04-11 07:30:12+00:00,"Надеюсь родители увидят где они и как пишут,  сдадут их в приют"
253,2022-05-25 15:35:32+00:00,"Да его на гомосятине замкнули он только про неё говорит, видимо беспокоит его это или мальчик нравится а взаимностью не отвечает, вот и бесится)))
Поэтому не обращай внимания, просто забей он поорет и уйдет)"
55,2023-04-11 07:36:20+00:00,"чел ты че опздываешь? если  сейчас не прийдешь, ты муж руссички"
220,2022-09-10 23:08:13+00:00,"Какой пример ты собрался использовать? Как, заходя в город, убивать всех людей мужского пола и насиловать девочек? Ну так рашисты так и делают. Всё по примерам из Ветхого завета.

Чел, ты вообще Библию читал? Ветхий завет больше не действует, смерть Христа его полностью отменила. Ты хотя бы разобрался сначала в лоре своей же собственной религии. Все примеры из Ветхого завета можно и нужно выкинуть в мусорник. Если ты не хочешь поехать кукохой от кардинальных противоречий между ним и Новым заветом. Или от всей той дичи, которая там записана.

Проблема в том, что ни Иегова, ни Яхве не являются именами Бога. С таким же успехом можно нарисовать иконку и поклонение ей назвать её богом. Никто не видел Бога, а мы нарисуем! Ещё и поклонимся. Л - логика. Вот это вы и делаете."
166,2023-04-10 20:54:14+00:00,"В чате одни интернетные герои лет 14 или 12 . Только в интернете негров и чурок(и русских) ненавидите а в реальной жизни ссыкуете 😁. Не важно хохол или кацап главная проблема это чурки и негры которые ебут ваших женщин пока ваши мужчины насильно воюют, но вы школота обосранная не поймёте это. Школьники и в России и в Украине должны выходить на улицы вместо мужчин и вырубать черножопых , либо идите маме помогать вместо того чтобы хуями мерится здесь в интернете . Мне в интернете тоже ничего доказывать не надо и я вам тоже доказывать не буду.  Всё на вашу совесть"
214,2023-04-03 19:57:12+00:00,"Я не могу уловить суть , где взаимосвязь?если бы я был антифа я бы сидел тут?включи мозг"
222,2022-09-02 12:11:07+00:00,"Слушай динозавр Рекс есть канал Палеонтология динозавров, приходи по общаемся о динозаврах какие были в разных периодов мезозойскай эры,
может что то нового для себя откроете, кроме сторожевой басни."
123,2023-04-10 11:51:49+00:00,"Нет))) ебанутые, вы ебнутые Крысы рил, клоуна ебаные"
190,2023-03-28 04:02:02+00:00,Кто-нибудь заказывал в вольфзангель шопе? Не кидают?
3,2022-05-12 12:02:16+00:00,"Народ, кинте плз видео где тесак обмазан сажей в шапочке как наркоторговец, там ещё за ним бегали по детской площадке..."
174,2023-02-03 15:51:25+00:00,Выебываться они начали когда Грозный с лица земли стерли к хуям собачьим
26,2022-06-03 13:02:29+00:00,"Это не означает что я анимешник
Поэтому ты сосешь хуй"
100,2023-04-10 18:22:13+00:00,"да ладно успокойтесь, мальчик внимания просто хочет"
189,2023-03-27 14:40:23+00:00,"Если ты того не видишь и не осилил прочесть аргументацию Адольфа, то ты тоже дегенерат."
8,2021-06-10 09:23:14+00:00,Привет братва. Я переписывался с тесаком как говорится думал будет движ а стало бесценной памятью. Есть у кого нибудь реклама Тесака Не покупай у чурок. И вступайте в группу националиста Николая Бондарика. Он Тесаку делал семинары в Питере и щас заместо Тесака стал оч крутой чувак
158,2023-04-11 11:07:42+00:00,а ну давай накати моей спермы себе в рыло чепуш ебаный ххаха
77,2023-04-11 07:51:43+00:00,Чмоня корейский блять. Ненавижу тебя пупсик обосанный. Ты себе жизнь сломал долбаёб.
219,2022-09-10 23:12:00+00:00,"Я привёл статью, тебе лень читать. Там приведены ссылки. Тебе лень читать, а мне лень для тебя стараться. Оставайся необразованным, мне то что."
151,2023-04-11 15:01:44+00:00,"не, ну это потешно ведь, сынок шлюхи тут покорно терпеть собрался, боится отпора достойного дать, и пытается байты мне языком в хуй кидать, вот потеха"
251,2022-05-25 16:31:02+00:00,"Кто такой ""террорист""? Этот ярлык не имеет смысла, выдуманное слово."
35,2023-01-19 20:04:54+00:00,"ты далбаеб нахуй? у тебя блять знаки препинания относятся к эмоциям? ты рил даун? окей бля, нахуя ты вопросительные знаки ставишь в конце? далбаеб? а? а? ??????????"
124,2023-04-10 11:51:28+00:00,Ты хуйло ты этим нечего не дабёшся у всех уроки давно кончились
198,2023-03-18 14:14:39+00:00,"hahaha classic, типичный сын аллаха пидораса и мухамеда жирной свиньи 🐖 🐷 🦍 , рофлов не понимает и только защищает свою пидорскую религию чтобы не оскорбили великого гомосека"
148,2023-04-11 13:29:52+00:00,А зачем пришёл сюда тогда если ты левак. Есть группы для таких как ты
78,2023-04-11 07:40:30+00:00,"Я могу слить тебе его вайбер, а потом ыыдумавай хуйню"
142,2023-04-04 10:23:14+00:00,"Ну вот, видишь, хоть что-то жалким варваришкам по ту сторону кавказа дали."
232,2022-02-06 06:55:34+00:00,"Люди, просыпайтесь, вы находитесь в секте! Отрекаться от лишённых общения родных, убивать детей из-за запрета на переливание крови и отказываться от нормальной жизни ради сказочных обещаний - это невероятно глупо. Вам даже запрещено исследовать свою религию, чтобы ненароком не ""преткнуться"", потому что она полна несостыковок, обмана и противоречий. Сторожевая Башня построена на песке и тут же валится как только о ней начинаешь читать в независимых источниках."
178,2023-02-09 13:16:02+00:00,Лично я напал? Почему меня называют москалём и рашистом?
187,2023-03-26 17:21:35+00:00,Получается что мишка из маши и медведь педофил ебаный
165,2023-04-05 07:48:04+00:00,"Вау вместо того чтоб толкового сказать пошли типичные оскорбления,никого я не наебываю,где я ценитель роблокса и твича,я в роблокса один раз в жизни играл"
40,2023-04-11 09:36:55+00:00,школота давай уже сообщение рассылай я хочу выходной(
147,2023-04-11 11:49:40+00:00,только попробуй тут свои кони на меня раскинуть заблеваный сын шлюхи
209,2023-03-15 18:11:02+00:00,Это доказывает что он может только унижать лохов. И нечего больше
104,2023-04-10 17:26:33+00:00,"Ему серьёзно настолько нечего делать, что он решил тур по городам устроить, еблан тупоголовый"
101,2023-04-10 18:25:53+00:00,"Да фиг знает. Он писал, что не русский. Может обиделся на что и теперь ""пугает"" людей"
194,2023-03-16 11:02:09+00:00,"Два раза уже объяснил,третий не хочу
Глупый псевдо-правый долбаеб
Так жопу в голосовых рвал,что голос сорвал
Я не чурка"
64,2023-04-11 10:41:38+00:00,сидит наверно 5 классник позвонил во все школы попугать
85,2023-04-11 08:36:20+00:00,"Ждём не дождёмся, это наебаловка лол, по новостям такого не говарили"
65,2023-04-11 10:44:29+00:00,так он выкладывает в доказательства того что эвакуировали
108,2023-04-10 18:49:17+00:00,"Типо сын белки, с севера, недобитого блять отрослика из 0.0008 г который получил 2 по биологии. Ой а зачем я типо поставил?"
62,2023-04-11 10:48:07+00:00,"у мя раньше была такая в друзьях девка, с ником уток мать"
136,2023-04-05 04:26:28+00:00,"Я тебе вообще предлагаю закончиться эту бессмысленный диалог,как на это смотришь?"
